player_id,Cutoff Prob
Zotka,0.0
Kalinychev,0.0
embONE,0.0
Директор,0.0
damashniy,0.0
rodikkks,0.0
chibis,0.0
Демсик,0.0
Bruschetta,0.0
Ayvazovskiy,0.0
MrGinny,0.0
Tatara_mama,0.0
psaylok,0.0
profitrolli,0.0
Денис,0.0
Juli_Diakova,0.0
tikhonov_vlad,0.0
glebiz,0.0
Lavastamain,0.0
HappySeminary,0.0
Nadezda,0.0
matveychikkk,0.0
Nastya123,0.0
reidssm,0.0
DeM_oN9,0.0
Аня1,0.0
Estetica,0.0
ovattory,0.0
Vromanov,0.0
Михаил Ю,0.0
Gregory_Semashko,0.0
Doc,0.0
Erik,0.0
Илья,0.0
Voldemar,0.0
mrsMarivanna,0.0
Margaery_ZHU,0.0
Даня,0.0
I.D.,0.0
kript_L,0.0
Митя1,0.0
wavesVA,0.0
Algemist,0.0
nareccccck,0.0
dato,0.0
Andre9082,0.0
Ali,0.0
Sitnikova_Julia0510,0.0
yakudza_10,0.0
Rocknroll,0.0
d_gordienko_d,0.0
322,0.0
Mamoru,0.0
Гриша,0.0
TheDenchik,0.0
NotClerk,0.0
hshshshajhev,0.0
omlet67,0.0
supersuka,0.0
Аскар,0.0
Dato747,0.0
leronyyyyy,0.0
db_jo,0.0
Zireael,0.0
ksu,0.0
Уничтожатор3000,0.0
fershtain,0.0
Maksim_T1,0.0
rintaxz,0.0
pavel,0.0
Anna_sim_tattoo_t,0.0
szinchenk0,0.0
shadowswager,0.0
Эльза UEG96,0.0
yenaqq,0.0
re_alxndr,0.0
Manhattan,0.0
Sergeyy,0.0
OGLeha,0.0
ДантеРен,0.0
Armando,0.0
blessed_25,0.0
Dupont,0.0
ОлегСися,0.0
Alkosport,0.0
ALismailovv,0.0
Донная мощь,0.0
neladenx,0.0
max_profitt,0.0
Шамиль,0.0
ndfnd17,0.0
Tvoy Bro,0.0
8117507677,0.0
Ваня,0.0
Th0rstein,0.0
Nurlan,0.0
Pat,0.0
igor forehand,0.0
balbes,0.0
EvgenAz24,0.0
alchemic479,0.0
de_fino,0.0
aprilse,0.0
maver,0.0
wiwka11,0.0
Gendalf,0.0
Frodo,0.0
raichenok,0.0
vasilisa-vasilek,0.0
mflameee,0.0
Мишаня,0.0
Unf1t,0.0
Torozyans,0.0
Dead0k228,0.0
Андрей А.,0.0
soufgxxx,0.0
Monashkа,0.0
Танк,0.0
Не умничай,0.0
Влад Шоколад,0.0
739000541,0.0
Mironencko,0.0
slavoniandp,0.0
subbotinsss,0.0
SuD,0.0
Нагибатор 228,0.0
DenisBasmanov,0.0
Лизаза,0.0
ZAYA,0.0
Davinaru,0.0
msbxmx,0.0
Korsunov_Evgenii,0.0
kshkakrtk,0.0
witoldkicker,0.0
xirosimaRa,0.0
Kiri_lica,0.0
iiruusyaa,0.0
Kostas,0.0
qoq091,0.0
frsv666,0.0
Artemka,0.0
Мария ва-банк,0.0
Питер Паркер,0.0
2ndfl,0.0
itsmateus4,0.0
krutoy_mujik,0.0
krishem98,0.0
Борат,0.0
Ilya_,0.0
Abrikosiq11,0.0
Sr_Babich,0.0
altyshkinnn,0.0
sugloboff,0.0
stilehendd,0.0
arinas399,0.0
Мама королева,0.0
krasnay,0.0
Юрий,0.0
yan_romanovi4,0.0
Nasvay,0.0
АЪАЪПЪ,0.0
egorski,0.0
q1ardash,0.0
Defi,0.0
andy_home_left,0.0
Эклерчик,0.0
Izonasya,0.0
Murkus,0.0
anutkabuon,0.0
Darksider,0.0
AnastasiaDamaeva,0.0
ananyeuskaya,0.0
Chumba656,0.0
nekrasovsll,0.0
yutanova,0.0
rouqot,0.0
Jisoo,0.0
yana_balts,0.0
bad_teacher,0.0
Faaram,0.0
Matthew,0.0
Marina123,0.0
darisunn,0.0
Angel,0.0
wasapmaaan,0.0
yulia.zhm,0.0
ya_vgb,0.0
Эрида,0.0
ttnnn,0.0
Teslatol,0.0
taya_gtx,0.0
verhovenskay,0.0
MNM2108,0.0
Crveni,0.0
Trickster,0.0
AsunaGod,0.0
Сашусик,0.0
IvanPrivetov,0.0
Яша,0.0
Bakha123,0.0
ritasukhareva,0.0
nuta23,0.0
Sveta_in_Gold,0.0
skr_anton,0.0
Gg,0.0
MskAMV,0.0
Arthur,0.0
Hizzoc,0.0
Ульяна 👽,0.0
No1z11,0.0
creg_tem,0.0
stasbeshl,0.0
Борис26,0.0
Danvits,0.0
st_lovlykiller,0.0
oksana_cosm_shukinskaia,0.0
fistful07,0.0
Пришелец,0.0
Lina_5_5,0.0
juliabald,0.0
imt360_ATDK,0.0
EDGARIX,0.0
dariafadeeva96,0.0
Leo Daiser,0.0
Jinko,0.0
Serebro,0.0
lib4e,0.0
Кайф,0.0
Kimmi_l,0.0
риверра,0.0
ellyelvira,0.0
Lu,0.0
Dmitriy123,0.0
rzisha0,0.0
MARACASIK,0.0
Виталий гуру,0.0
Seleedka,0.0
stasolxxx,0.0
Nikafrolkin,0.0
максик,0.0
Monashka,0.0
Энджи,0.0
belsky_tech,0.0
nikita_bajaj,0.0
rs_racing,0.0
lexxuss7,0.0
Лудик,0.0
Kirilll,0.0
Foru_Ban,0.0
Gandoniha,0.0
Anna,0.0
@Guzabelle,0.0
Павел В,0.0
codleto,0.0
cubaa,0.0
chaczm,0.0
by_twentyseven,0.0
JhonyCash,0.0
tda,0.0
t_r_lord,0.0
Roman_Stropel,0.0
romanchik2000,0.0
ROMANCE,0.0
Putin_presedent,0.0
storum,0.0
steff916,0.0
sokolovladimir,0.0
JShark,0.0
RobertRakhmatullin,0.0
Noize MC,0.0
Nekstrop,0.0
tmpbrg,0.0
thmzng,0.0
tdd_miis,0.0
KnockKnockQ,0.0
Николай Г,0.0
96,0.0
S4O4T,0.0
S4nzh1k,0.0
STG,0.0
p191q,0.0
papaoleja,0.0
Bapha,0.0
xiolloix,0.0
viko,0.0
visdyy,0.0
Shred,0.0
ywmoxd,0.0
zangetsssu,0.0
Алала,0.0
Monte_arm,0.0
scotty21hotty,0.0
set,0.0
prostachoker,0.0
rakushin,0.0
M1kayt,0.0
pro100_bustal,0.0
denisyoung04,0.0
ddpplla,0.0
Eternity,0.0
pavel_k001,0.0
nie_ue,0.0
over9000mmr,0.0
bee1ler1,0.0
yungplague,0.0
dnns,0.0
dnaskila,0.0
senya57K,0.0
serpav_04,0.0
doom,0.0
eiforik,0.0
dizelddd,0.0
deps,0.0
ns_sh,0.0
nord,0.0
Svift777,0.0
Straight 63,0.0
MalakhoFFuN,0.0
MaksimrQuguma,0.0
maxim_zinkov,0.0
DaniilKBSn,0.0
DVLADIMIRW,0.0
CheberkoGrisha,0.0
Голодный,0.0
Вкусность37,0.0
nasps,0.0
Cateroq,0.0
munkivugo,0.0
MMfun,0.0
Aziz,0.0
Arti,0.0
Hiroshima,0.0
Grotesque,0.0
little_sonik_16,0.0
Ar1k_3,0.0
limbo,0.0
azipas,0.0
as1iva,0.0
artēm lois,0.0
Elisey,0.0
Ego,0.0
moodellas,0.0
motorpe,0.0
moz1lo_jr,0.0
Fisa_blat,0.0
GAGARIN_UR,0.0
lolapilota,0.0
miroyals,0.0
mercifullyy,0.0
Trasher,0.0
VaidSim,0.0
Kroxa,0.0
littlee_sushi,0.0
Ксюша,0.0
Vladlover,0.0
meow,0.0
mariaromanovna663,0.0
Deslis07,0.0
igsaml,0.0
akim_rha,0.0
alexpotashnikov,0.0
eugenia_shere,0.0
Amak,0.0
Alumaz,0.0
Alto,0.0
Митя,0.0
Мистер Капюшон,0.0
Марат,0.0
Максим2007,0.0
Lori,0.0
Крекер,0.0
Капитан,0.0
levevgeneech,0.0
Yung Christ,0.0
Yuren_4ik,0.0
Julymilk,0.0
Yana,0.0
kalabinka,0.0
iliavolk,0.0
WhereTheDragonsWent,0.0
YBBSHK,0.0
KisGeorgiy,0.0
Lontsom,0.0
Kamilaushaeva,0.0
Kerbi,0.0
Напас,0.0
AntonyJones,0.0
Холодный,0.0
kathrin_psy,0.0
Хайзенберг,0.0
hobra1king,0.0
antonborulya,0.0
googg11ee,0.0
максон,0.0
Aiva,0.0
ANUR1922,0.0
пошлая блондинка,0.0
Anatoly_9999,0.0
@Anastasiia_Fedoss,0.0
3310,0.0
черешня,0.0
666,0.0
Проповедник,0.0
Пивной Бобер,0.0
@terensv,0.0
