player_id,games,total_points,avg_points,avg_finish,top_9_rate,top_20_rate,top_30_rate,made_top_30_games,near_top_30_bubble_games,top_30_bubble_avg_points,top_30_bubble_conversion_rate,points_per_top_30,bubble_score
Пупупу,1,300.0,300.0,20.0,0.0,1.0,1.0,1,0,0.0,0.0,300.0,0.6
Татьяна Юрьевна Р.,2,550.0,275.0,21.0,0.0,0.5,1.0,2,0,0.0,0.0,275.0,0.6
Dio,1,250.0,250.0,22.0,0.0,0.0,1.0,1,0,0.0,0.0,250.0,0.6
OwTlion,1,250.0,250.0,21.0,0.0,0.0,1.0,1,0,0.0,0.0,250.0,0.6
Xxx,1,250.0,250.0,21.0,0.0,0.0,1.0,1,0,0.0,0.0,250.0,0.6
dialse,1,250.0,250.0,23.0,0.0,0.0,1.0,1,0,0.0,0.0,250.0,0.6
Лабуба,1,250.0,250.0,21.0,0.0,0.0,1.0,1,0,0.0,0.0,250.0,0.6
kapayaki,1,200.0,200.0,24.0,0.0,0.0,1.0,1,0,0.0,0.0,200.0,0.6
Импостер,1,200.0,200.0,24.0,0.0,0.0,1.0,1,0,0.0,0.0,200.0,0.6
srgzorge,3,240.0,80.0,33.333333333333336,0.0,0.0,0.3333333333333333,1,1,200.0,1.0,240.0,0.6
Legi,3,150.0,50.0,48.666666666666664,0.0,0.0,0.3333333333333333,1,1,150.0,1.0,150.0,0.6
ksuhony,7,690.0,98.57142857142857,48.714285714285715,0.0,0.14285714285714285,0.2857142857142857,2,1,320.0,1.0,345.0,0.5714285714285714
Kanti,5,4450.0,890.0,36.8,0.2,0.4,0.6,3,2,75.0,0.5,1483.3333333333333,0.56
clayzid,4,460.0,115.0,52.5,0.0,0.0,0.25,1,1,400.0,1.0,460.0,0.55
Бэндер,7,3410.0,487.14285714285717,19.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,6,0,0.0,0.0,568.3333333333334,0.5142857142857142
EliasPavlov,6,3915.0,652.5,11.833333333333334,0.5,0.8333333333333334,0.8333333333333334,5,1,40.0,0.0,783.0,0.5
Добросердечный,2,300.0,150.0,30.5,0.0,0.0,0.5,1,2,150.0,0.5,300.0,0.5
artyomkalina,5,1400.0,280.0,22.4,0.2,0.6,0.8,4,0,0.0,0.0,350.0,0.48
gvrdkn,9,1495.0,166.11111111111111,38.888888888888886,0.1111111111111111,0.3333333333333333,0.4444444444444444,4,2,100.0,0.5,373.75,0.4666666666666667
emilian_s,4,2570.0,642.5,36.5,0.25,0.25,0.75,3,0,0.0,0.0,856.6666666666666,0.44999999999999996
Rabie,4,1215.0,303.75,27.25,0.25,0.5,0.75,3,0,0.0,0.0,405.0,0.44999999999999996
szrvi,4,1175.0,293.75,21.75,0.25,0.75,0.75,3,0,0.0,0.0,391.6666666666667,0.44999999999999996
sasha12039,5,400.0,80.0,57.4,0.0,0.0,0.4,2,2,100.0,0.5,200.0,0.44
3y6a,6,1275.0,212.5,38.833333333333336,0.16666666666666666,0.3333333333333333,0.5,3,3,66.66666666666667,0.3333333333333333,425.0,0.43333333333333335
Julia_2499,3,1220.0,406.6666666666667,21.666666666666668,0.0,0.6666666666666666,0.6666666666666666,2,0,0.0,0.0,610.0,0.39999999999999997
Shuricspinoza,3,850.0,283.3333333333333,31.333333333333332,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,0,0.0,0.0,425.0,0.39999999999999997
sfv,3,710.0,236.66666666666666,27.333333333333332,0.0,0.6666666666666666,0.6666666666666666,2,0,0.0,0.0,355.0,0.39999999999999997
Maxim,5,1900.0,380.0,26.2,0.4,0.6,0.6,3,0,0.0,0.0,633.3333333333334,0.36
Yars,5,1410.0,282.0,29.6,0.2,0.4,0.6,3,1,0.0,0.0,470.0,0.36
кинчоч,7,3790.0,541.4285714285714,25.714285714285715,0.42857142857142855,0.5714285714285714,0.5714285714285714,4,1,0.0,0.0,947.5,0.3428571428571428
Пиковая Дама,7,2045.0,292.14285714285717,42.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,4,0,0.0,0.0,511.25,0.3428571428571428
Yanchik_250,7,1705.0,243.57142857142858,41.142857142857146,0.14285714285714285,0.42857142857142855,0.5714285714285714,4,0,0.0,0.0,426.25,0.3428571428571428
turkoid,2,1700.0,850.0,56.5,0.5,0.5,0.5,1,0,0.0,0.0,1700.0,0.3
Драйв,2,1240.0,620.0,29.5,0.5,0.5,0.5,1,0,0.0,0.0,1240.0,0.3
gara_077,4,2325.0,581.25,28.5,0.25,0.5,0.5,2,0,0.0,0.0,1162.5,0.3
ustayonmymind,2,1000.0,500.0,19.5,0.5,0.5,0.5,1,0,0.0,0.0,1000.0,0.3
Антуан Гризманн,6,2860.0,476.6666666666667,32.5,0.5,0.5,0.5,3,0,0.0,0.0,953.3333333333334,0.3
Коленвал,2,950.0,475.0,39.5,0.5,0.5,0.5,1,0,0.0,0.0,950.0,0.3
Пассажир,6,2665.0,444.1666666666667,33.666666666666664,0.3333333333333333,0.5,0.5,3,1,0.0,0.0,888.3333333333334,0.3
дисциплина,4,1275.0,318.75,22.25,0.25,0.5,0.5,2,2,0.0,0.0,637.5,0.3
Gur4an,2,635.0,317.5,28.5,0.5,0.5,0.5,1,0,0.0,0.0,635.0,0.3
Сан Саныч,2,550.0,275.0,27.0,0.0,0.5,0.5,1,0,0.0,0.0,550.0,0.3
Викусик,4,1000.0,250.0,31.25,0.25,0.5,0.5,2,0,0.0,0.0,500.0,0.3
terzzzzzzzzz,2,445.0,222.5,29.5,0.0,0.5,0.5,1,0,0.0,0.0,445.0,0.3
E_ishutkin,4,850.0,212.5,31.5,0.0,0.25,0.5,2,0,0.0,0.0,425.0,0.3
Лудоданя,4,820.0,205.0,34.5,0.25,0.25,0.5,2,0,0.0,0.0,410.0,0.3
poysty,2,350.0,175.0,30.0,0.0,0.5,0.5,1,0,0.0,0.0,350.0,0.3
kuromi,4,655.0,163.75,32.75,0.0,0.25,0.5,2,0,0.0,0.0,327.5,0.3
Mozilo,2,325.0,162.5,71.5,0.0,0.5,0.5,1,0,0.0,0.0,325.0,0.3
dunkaeva,2,325.0,162.5,23.5,0.0,0.5,0.5,1,1,0.0,0.0,325.0,0.3
Leomane,4,635.0,158.75,27.75,0.0,0.25,0.5,2,1,60.0,0.0,317.5,0.3
Chicago,2,300.0,150.0,64.5,0.0,0.5,0.5,1,0,0.0,0.0,300.0,0.3
No1z11,2,300.0,150.0,35.5,0.0,0.5,0.5,1,0,0.0,0.0,300.0,0.3
puppet,2,300.0,150.0,39.5,0.0,0.5,0.5,1,0,0.0,0.0,300.0,0.3
z9,2,300.0,150.0,30.0,0.0,0.5,0.5,1,0,0.0,0.0,300.0,0.3
rusya6996,2,250.0,125.0,30.5,0.0,0.0,0.5,1,0,0.0,0.0,250.0,0.3
Никитос,2,250.0,125.0,57.5,0.0,0.0,0.5,1,0,0.0,0.0,250.0,0.3
Константин 1,2,200.0,100.0,55.5,0.0,0.0,0.5,1,0,0.0,0.0,200.0,0.3
Плейбой в карты,5,1430.0,286.0,26.2,0.2,0.4,0.4,2,1,0.0,0.0,715.0,0.24
yungplague,3,2000.0,666.6666666666666,49.666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,2000.0,0.19999999999999998
Great Teacher Onizuka,3,850.0,283.3333333333333,72.66666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,850.0,0.19999999999999998
В азарт не входим,3,850.0,283.3333333333333,79.66666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,850.0,0.19999999999999998
Руслан,6,1560.0,260.0,40.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,2,0,0.0,0.0,780.0,0.19999999999999998
kirienish,3,625.0,208.33333333333334,37.333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,625.0,0.19999999999999998
Jeereky,3,400.0,133.33333333333334,48.666666666666664,0.0,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,400.0,0.19999999999999998
Nolekri,3,350.0,116.66666666666667,28.0,0.0,0.3333333333333333,0.3333333333333333,1,1,0.0,0.0,350.0,0.19999999999999998
ajolana,3,350.0,116.66666666666667,27.666666666666668,0.0,0.3333333333333333,0.3333333333333333,1,1,0.0,0.0,350.0,0.19999999999999998
mflameee,3,345.0,115.0,31.666666666666668,0.0,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,345.0,0.19999999999999998
call_me_zanavo,3,300.0,100.0,68.66666666666667,0.0,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,300.0,0.19999999999999998
Стич,3,200.0,66.66666666666667,48.333333333333336,0.0,0.0,0.3333333333333333,1,0,0.0,0.0,200.0,0.19999999999999998
Serg,7,2670.0,381.42857142857144,46.857142857142854,0.14285714285714285,0.2857142857142857,0.2857142857142857,2,0,0.0,0.0,1335.0,0.1714285714285714
Rik_dds,8,1145.0,143.125,41.5,0.125,0.25,0.25,2,0,0.0,0.0,572.5,0.15
ForceUser,4,410.0,102.5,59.75,0.0,0.25,0.25,1,0,0.0,0.0,410.0,0.15
Laches1,4,400.0,100.0,47.75,0.0,0.25,0.25,1,1,0.0,0.0,400.0,0.15
Ташкент,4,350.0,87.5,42.5,0.0,0.25,0.25,1,0,0.0,0.0,350.0,0.15
Chesters,4,325.0,81.25,32.0,0.0,0.25,0.25,1,2,0.0,0.0,325.0,0.15
TryFraiz,4,310.0,77.5,51.0,0.0,0.0,0.25,1,2,10.0,0.0,310.0,0.15
Yrs,5,535.0,107.0,69.4,0.2,0.2,0.2,1,0,0.0,0.0,535.0,0.12
maria_merlot,6,700.0,116.66666666666667,52.833333333333336,0.0,0.16666666666666666,0.16666666666666666,1,0,0.0,0.0,700.0,0.09999999999999999
Davit,1,140.0,140.0,53.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
.,1,100.0,100.0,58.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Чучел,1,100.0,100.0,37.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Kasatik,1,80.0,80.0,86.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
VVP,3,220.0,73.33333333333333,54.333333333333336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bad Beat Bunny,2,100.0,50.0,58.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bogdanov,2,100.0,50.0,40.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Billie,1,40.0,40.0,31.0,0.0,0.0,0.0,0,1,40.0,0.0,0.0,0.0
Errchi,1,40.0,40.0,79.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Luckymodjo,1,40.0,40.0,74.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
dobrotova,1,40.0,40.0,59.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
toronto970,1,40.0,40.0,70.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Никита,1,40.0,40.0,46.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DARI,1,20.0,20.0,52.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Danil123,1,20.0,20.0,77.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gambling Addiction,3,60.0,20.0,103.33333333333333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
He3hAy,1,20.0,20.0,60.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Nastyareshonova,1,20.0,20.0,54.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Pat,1,20.0,20.0,88.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
balamut,1,20.0,20.0,55.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
elli,1,20.0,20.0,61.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
klavson,1,20.0,20.0,91.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
repe_kate,1,20.0,20.0,63.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
springbulk,1,20.0,20.0,38.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Вега,1,20.0,20.0,49.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Голиаф,1,20.0,20.0,82.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Кристина П,1,20.0,20.0,65.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Мистер Захаров,1,20.0,20.0,52.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Эдгар,1,20.0,20.0,80.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Qrexi,3,40.0,13.333333333333334,64.33333333333333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Nastya123,2,20.0,10.0,69.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Suruchik,2,20.0,10.0,68.5,0.0,0.0,0.0,0,1,20.0,0.0,0.0,0.0
imt360_ATDK,2,20.0,10.0,77.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
STG,3,20.0,6.666666666666667,79.66666666666667,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
рачули,3,20.0,6.666666666666667,56.666666666666664,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Al,5,20.0,4.0,57.2,0.0,0.0,0.0,0,1,20.0,0.0,0.0,0.0
25 кадр,1,0.0,0.0,136.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6igfi$Hf4n,1,0.0,0.0,68.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,80.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
@lidiasol07,1,0.0,0.0,89.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Aboltuss,1,0.0,0.0,118.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Akatones,1,0.0,0.0,94.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Aleksa,1,0.0,0.0,84.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Alisa Prekrati,1,0.0,0.0,44.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Alkyds,2,0.0,0.0,77.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Anastasia,1,0.0,0.0,75.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Anastasiia_Fedoss,1,0.0,0.0,116.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Antonioni,1,0.0,0.0,79.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Aronio,2,0.0,0.0,74.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ArtemDavidyan,1,0.0,0.0,68.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Artemon,1,0.0,0.0,72.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Artemovna,1,0.0,0.0,98.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Artur_Degterev,1,0.0,0.0,50.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Asakura_Russell,2,0.0,0.0,92.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bagira,4,0.0,0.0,75.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bereza,2,0.0,0.0,49.5,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Black Crystal,1,0.0,0.0,32.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Blitz,1,0.0,0.0,80.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Borsalino,1,0.0,0.0,58.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Brooklyn,1,0.0,0.0,103.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Broski,1,0.0,0.0,58.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
CICADA,1,0.0,0.0,96.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Cation,1,0.0,0.0,112.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Chumba656,1,0.0,0.0,86.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Cocacola,1,0.0,0.0,47.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
CozImDrunk,1,0.0,0.0,75.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Cucumberrr,1,0.0,0.0,104.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Danil,1,0.0,0.0,67.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DanilaOdinokov,1,0.0,0.0,77.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dark Horse,1,0.0,0.0,101.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Darksoul,1,0.0,0.0,76.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Davinaru,1,0.0,0.0,71.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Davydovpussy,1,0.0,0.0,37.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DmitriiM0,1,0.0,0.0,50.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Don,1,0.0,0.0,44.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Donny,1,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dreemur,1,0.0,0.0,94.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dupont,1,0.0,0.0,36.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
E13,1,0.0,0.0,86.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
